service	usage_type	item_description	name	unblended_cost
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtreplic1-prd /dev/xvda	1.045129047
mrt	USW2-DataTransfer-Out-Bytes	$0.090 per GB - first 10 TB / month data transfer out beyond the global free tier	uc3-mrtstore2-prd	1.039150907
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtsword-prd /dev/xvda	1.0342715
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtoai-prd /dev/xvda	1.021115207
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtweb-stg /dev/sdb	1.020644049
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtweb-dev /dev/sdb	1.002945574
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-ingest02-prd /dev/xvda	1.002035702
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtweb-dev /dev/sdb	1.000000008
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtweb-prd /dev/sdb	1.000000008
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtweb-stg /dev/sdb	1.000000008
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtweb-prd /dev/xvda	0.966628846
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtreplic2-stg /dev/xvda	0.931979306
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtinv-prd /dev/xvda	0.899711939
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtinv2-prd /dev/xvda	0.899422533
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtinv-stg /dev/xvda	0.894843043
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtdataone-stg /dev/xvda	0.891000855
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtaudit-stg /dev/xvda	0.881382067
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtistatus-stg /dev/xvda	0.877881868
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-ingest02-stg /dev/xvda	0.874586083
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtinv2-prd /dev/sdb	0.869414326
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtui02-stg /dev/xvda	0.863498479
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-ingest01-stg /dev/xvda	0.862138142
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtinv-dev /dev/xvda	0.845697026
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtaudit-dev /dev/xvda	0.831966077
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtweb-stg /dev/xvda	0.821842621
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtinv2-stg /dev/xvda	0.818254621
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtingest1-dev /dev/xvda	0.815669279
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtsword-stg /dev/xvda	0.805702963
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtui01-stg /dev/xvda	0.802210039
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtreplic1-dev /dev/xvda	0.801909694
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtoai-stg /dev/xvda	0.797522213
mrt	USW2-DataTransfer-Regional-Bytes	$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using elastic IPs or ELB	uc3-ingest01-prd	0.79701657
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtstore2-dev /dev/xvda	0.794418128
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtsword-dev /dev/xvda	0.789864097
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtdataone-dev /dev/xvda	0.755304611
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtui-dev /dev/xvda	0.748766358
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtoai-dev /dev/xvda	0.7450199
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtweb-dev /dev/xvda	0.723601697
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtexpress-prd-2c /dev/xvda	0.711794183
mrt	USW1-EBS:SnapshotUsage	$0.055 per GB-Month of snapshot data stored - US West (Northern California)	uc3-mrtexpress-prd-2c	0.708802094
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtexpress-prd-2a /dev/xvda	0.647933572
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtexpress-stg /dev/xvda	0.634189331
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-ingest01-prd /dev/xvda	0.599999976
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-ingest01-stg /dev/xvda	0.599999976
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-ingest02-prd /dev/xvda	0.599999976
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-ingest02-stg /dev/xvda	0.599999976
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-ingest03-prd /dev/xvda	0.599999976
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtaudit-dev /dev/xvda	0.599999976
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtaudit-stg /dev/xvda	0.599999976
mrt	USW2-EBS:VolumeUsage	$0.05 per GB-month of Magnetic provisioned storage - US West (Oregon)	uc3-mrtaudit1-prd /dev/xvda	0.599999976
